etpSrcIP,etpSrcP,etpDstP,etpProtocol,totalPacket,label
2.536088222091784,0.0686003391241183,0.0465273995620474,0.0557031009586454,1724,0
2.43728318182313,0.4030300359561959,0.1780786409857687,0.2313388724805844,1674,0
2.6314748800052867,0.0,0.0,0.0,1423,0
2.930899326118575,0.7445009494406899,0.7611182274037425,0.5073511089397362,1867,0
4.449604161878249,0.7355500255145396,3.596202025886924,0.9999313631082578,2973,0
4.215321297011011,0.8791698986375881,3.2805258204998182,0.9985539826051084,2770,0
4.419057493249755,0.6826368608936747,4.437346116413807,0.9462867485113036,4322,0
4.215948543318313,0.8542716733726059,4.711793682582017,0.9386405604662014,3930,0
3.995077766151936,0.4483441103008484,4.754095368249844,0.9579258217667336,4136,0
3.450293875392134,0.7373753810750755,4.559553302798428,0.9825776969282484,3198,0
3.104251483683592,0.5188179995111534,3.869222667627501,0.992350125640996,2838,0
2.497267367617224,0.3648156682120276,0.1642998880307205,0.2118760005486921,1878,0
2.956409596107623,0.564043142415749,3.9048135144044704,0.9984763982919984,2568,0
2.962523926046248,0.761780681366984,3.7368869417029296,0.9983259660565876,2969,0
3.0907924115592835,0.7670071353900941,3.2221747455137484,0.9715268196632773,2424,0
3.136195675310118,0.6347036063407463,2.461530967465132,0.8995129813281126,2291,0
2.977664196294825,0.5306490616496772,1.351982619764046,0.7160414542818827,1710,0
3.0617304715825338,0.8251882823001973,1.5789464326878957,0.7988667655091122,1919,0
3.655395867218036,0.8458456292635574,2.860620436498768,0.9785844853199952,2688,0
3.6589150863018425,1.0792187211865494,4.771740107496837,0.961574066399598,3547,0
3.5719647720987955,0.720087195344874,4.84240277999111,0.9727092121256004,3667,0
3.301523346638864,0.7206028385105132,4.841540432627091,0.9740425133215398,3384,0
2.5509326752325583,0.0642721108826343,0.0443205907932207,0.0529593530977214,1665,0
2.75907353762918,0.5439982874211369,4.544552242025327,0.9998970382507189,3097,0
2.7244605405584226,0.7547236613714736,4.703390020137367,0.9942875725826568,2665,0
2.6852140695279623,0.5887211702170084,3.354296941123512,0.9624488712792806,2518,0
3.10158688334822,0.9561336232700568,3.650460590746374,0.9998238825988728,2176,0
2.969277608173156,0.874024928674542,2.8223543564651754,0.9628006445217716,2145,0
3.013180237281742,0.5823582664725296,2.724263943680675,0.9157138962272644,2213,0
3.096826436119143,0.8479420707694909,2.8579406807131336,0.9374079102600466,2216,0
2.554737064809732,0.4828312578206244,1.318668133311521,0.6291729235812775,1666,0
