timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1589932766.272098,2,10.0.0.54380410.0.0.350501,10.0.0.5,43804,10.0.0.3,5050,1,0,0,24,423000000,20,100,0,23,2254,0.9583333333333334,5.437352245862884e-08,93.91666666666667,5.328605200945626e-06,0
1589932766.275147,1,10.0.0.1505010.0.0.10438046,10.0.0.1,5050,10.0.0.10,43804,6,-1,-1,4,216000000,20,100,0,46247,3054726,11561.75,0.0002141064814814815,763681.5,0.01414225,0
1589932766.275147,1,10.0.0.18010.0.0.3457426,10.0.0.1,80,10.0.0.3,45742,6,-1,-1,4,360000000,20,100,0,2080,60347930,520.0,5.777777777777778e-06,15086982.5,0.1676331388888889,0
1589932766.275147,1,10.0.0.1505010.0.0.3542466,10.0.0.1,5050,10.0.0.3,54246,6,-1,-1,24,486000000,20,100,0,139454,9203964,5810.583333333333,0.0002869423868312757,383498.5,0.018938197530864197,0
1589932766.275147,1,10.0.0.18010.0.0.3457406,10.0.0.1,80,10.0.0.3,45740,6,-1,-1,4,369000000,20,100,0,11,1046,2.75,2.981029810298103e-08,261.5,2.834688346883469e-06,0
1589932766.275147,1,10.0.0.1505110.0.0.34022317,10.0.0.1,5051,10.0.0.3,40223,17,-1,-1,4,395000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1589932766.275147,1,10.0.0.104380410.0.0.150506,10.0.0.10,43804,10.0.0.1,5050,6,-1,-1,4,218000000,20,100,0,198680,11271303816,49670.0,0.0009113761467889908,2817825954.0,51.703228513761466,0
1589932766.275147,1,10.0.0.34574210.0.0.1806,10.0.0.3,45742,10.0.0.1,80,6,-1,-1,4,361000000,20,100,0,1037,68556,259.25,2.8725761772853185e-06,17139.0,0.00018990581717451524,0
1589932766.275147,1,10.0.0.35424610.0.0.150506,10.0.0.3,54246,10.0.0.1,5050,6,-1,-1,24,492000000,20,100,0,596064,33916209400,24836.0,0.0012115121951219512,1413175391.6666667,68.93538495934959,0
1589932766.275147,1,10.0.0.34574010.0.0.1806,10.0.0.3,45740,10.0.0.1,80,6,-1,-1,4,371000000,20,100,0,11,842,2.75,2.9649595687331536e-08,210.5,2.269541778975741e-06,0
1589932766.275147,1,10.0.0.34022310.0.0.1505117,10.0.0.3,40223,10.0.0.1,5051,17,-1,-1,14,432000000,20,100,0,893,1350216,63.785714285714285,2.0671296296296295e-06,96444.0,0.0031255,0
1589932766.275147,1,10.0.0.34022310.0.0.550511,10.0.0.3,40223,10.0.0.5,5051,1,0,8,24,490000000,20,100,0,23,2254,0.9583333333333334,4.693877551020408e-08,93.91666666666667,4.6e-06,0
1589932766.275147,1,10.0.0.54022310.0.0.350511,10.0.0.5,40223,10.0.0.3,5051,1,0,0,24,421000000,20,100,0,23,2254,0.9583333333333334,5.463182897862233e-08,93.91666666666667,5.353919239904988e-06,0
1589932776.271066,3,10.0.0.1505010.0.0.10438046,10.0.0.1,5050,10.0.0.10,43804,6,-1,-1,14,215000000,20,100,0,131122,8656476,9365.857142857143,0.0006098697674418605,618319.7142857143,0.040262679069767444,0
1589932776.271066,3,10.0.0.104380410.0.0.150506,10.0.0.10,43804,10.0.0.1,5050,6,-1,-1,14,224000000,20,100,0,569013,32411046610,40643.78571428572,0.0025402366071428572,2315074757.857143,144.69217236607142,0
1589932776.271066,3,10.0.0.104345610.0.0.1505117,10.0.0.10,43456,10.0.0.1,5051,17,-1,-1,4,173000000,20,100,0,317,479304,79.25,1.8323699421965318e-06,119826.0,0.002770543352601156,0
1589932776.271554,5,10.0.0.10010.0.0.1401,10.0.0.10,0,10.0.0.14,0,1,0,8,14,231000000,20,100,0,13,1274,0.9285714285714286,5.627705627705628e-08,91.0,5.515151515151515e-06,0
